"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","12039999.961853","40430000.3051758","20909999.8474121","19290000.9155273","24329999.9237061","29979999.5422363","24969999.3133545","29979999.5422363","24860000.6103516","18260000.2288818","25799999.2370605","19530000.6866455","25069999.6948242","11260000.2288818","-7380000.11444092","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","491530003.177002","563959994.575008","688990003.872663","804809999.719262","1265530004.68016","1871239952.0278","1689510023.11707","2117160013.67569","2778050024.03259","3852599973.44017","4669250015.02037","4549970002.65121","4830960004.80652","4704879937.89651","4588420012.47406","5459229925.63248","6289619968.41431","7560669958.11463","8521049962.99744","8447229913.71156","10480720001.2207","10194609941.4826","11410189949.0357","10290579914.093","10310319892.8833","10800960118.2938","8218980037.68921","8028639986.03821","7679369930.26734","7481400024.41407","7995110001.56403","8510100046.15784","11407200153.3508","16522039883.6136","16249479990.9592","16411430004.1199","18452829945.5643","20486030153.2746","23679979837.4176","25143129997.2534","24977449817.6575","28533789930.3436","26226879871.3684","29207570093.1549","25900260070.8008","25497109967.7086","25069150086.4029","27881609782.219","27525489810.9436","30202910114.2884","","","","","",
"Afghanistan","AFG","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","17180000.3051758","34669998.1689453","16930000.3051758","36669998.1689453","46169998.1689453","53930000.3051758","50840000.1525879","41080001.8310547","29239999.7711182","27250000","27610000.6103516","44439998.626709","55180000.3051758","55720001.2207031","48909999.8474121","66980003.3569336","70199996.9482422","82720001.2207031","74500000","99209999.0844727","28600000.3814697","22950000.7629395","9739999.77111816","13479999.5422363","6710000.03814697","16319999.6948242","2650000.09536743","46520000.4577637","73500000","149320007.324219","122720001.220703","508540008.544922","204800003.051758","223800003.051758","226419998.168945","212529998.779297","169630004.882813","230750000","164199996.948242","142860000.610352","136009994.506836","410359985.351563","1223290039.0625","1538229980.46875","2268528320.3125","2815098388.67188","2895828369.14063","4982612304.6875","4811211425.78125","6113124023.4375","6072399902.34375","6745740234.375","6666770507.8125","5152541015.625","4942970214.84375","4274226074.21875","4069414306.64063","3811737060.54688","3792489257.8125","4137609863.28125","4210314453.125","4691710449.21875","3914967041.01563","3060331298.82813","",
"Africa Western and Central","AFW","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","542780003.070831","602020000.085235","610400006.29425","781199999.818578","1159600009.91821","1441460011.24382","1382409999.75801","1509669982.73134","2107920005.61953","2460689999.58038","2706670009.61304","2649729988.09815","2614319970.13092","2482990002.63214","2834980006.21796","2929300014.49585","4007109979.62952","4334899929.04663","5026420055.38941","5882469989.77661","6473519947.052","6558540054.32129","6609010009.76563","6321599979.40064","7606889926.91041","6911829978.94287","6707550060.27222","5283050033.56934","5644260025.02442","4772110036.84998","4049070066.45203","4705749979.97284","6247569955.82581","6514859987.25891","8213159975.05188","14364720142.3645","20366009918.2129","12652500106.8115","12531550003.0518","14215949983.5968","15345270011.9019","14186749874.115","15529890200.6149","14105610011.1008","14729140147.686","14652700120.9259","13834239950.1801","15917469878.6736","16573919943.3327","18431019996.6431","","","","","",
"Angola","AGO","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","-50000.0007450581","23549999.2370605","","29999.9993294477","","1110000.01430511","2859999.89509583","18180000.3051758","9999.99977648258","-109999.999403954","-29999.9993294477","0","90000.0035762787","159999.996423721","370000.004768372","4760000.22888184","17479999.5422363","47500000","46869998.9318848","47060001.373291","52439998.626709","60220001.2207031","59069999.6948242","73879997.253418","93410003.6621094","90489997.8637695","130250000","134429992.675781","157029998.779297","167059997.558594","265769989.013672","277079986.572266","343589996.337891","289390014.648438","447070007.324219","416420013.427734","459309997.558594","354660003.662109","335269989.013672","387540008.544922","302209991.455078","282730010.986328","414029998.779297","493502990.722656","1144572998.04688","414683013.916016","163520004.272461","259984008.789063","369040344.238281","238936843.87207","231039993.286133","192938064.575195","243610137.939453","285537322.998047","235392440.795898","380061279.296875","206513397.216797","223139114.379883","162641571.044922","22704574.5849609","112879318.237305","249027175.90332","95931869.5068359","147169143.676758","",
"Albania","ALB","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5559999.94277954","10340000.1525879","11050000.1907349","331950012.207031","409640014.648438","270679992.675781","163100006.103516","180600006.103516","226642669.677734","168234664.916992","268744659.423828","488182006.835938","317854675.292969","268534667.96875","307358001.708984","349313323.974609","300938995.361328","315083679.199219","324043670.654297","308628753.662109","364839721.679688","357149261.474609","320130004.882813","379480926.513672","349160186.767578","269979553.222656","281172241.210938","335157653.808594","171037841.796875","168354782.104492","344517028.808594","28130378.7231445","310592498.779297","634427917.480469","316767364.501953","360629669.189453","",
"Andorra","AND","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","713500001.106411","730710006.214679","875479998.365044","2169269978.22523","3869830047.78624","5702299892.99179","5924509939.13412","6996859862.86402","6880979954.79406","8042799885.79453","9272629957.25869","8876639943.33149","7479719998.71732","6480009941.3395","6031929985.88086","6729439941.28704","6399709944.2482","6784450071.09642","5300050009.60827","5128569936.99074","12762750096.0827","11533449827.1942","8300329899.54949","7335299915.0753","7671250001.43052","6020099861.86027","6374499894.85741","5885569985.74734","6482210033.65517","5512709961.89118","5082809939.8613","5475920011.28197","5307289940.83405","9084489860.53467","11674739841.4612","29295579914.093","17562190309.5245","19061669792.1753","22708910317.3614","14318619856.8642","12318010100.8415","13655589836.1206","15120080116.272","22498559654.2358","22269969970.7031","20726810295.105","27757370086.6699","30002789398.1934","33943020240.7837","30092379943.8477","32811099685.669","40139670440.6738","","","",
"United Arab Emirates","ARE","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","409999.996423721","540000.021457672","430000.007152557","389999.985694885","579999.983310699","19999.9995529652","1299999.95231628","1570000.05245209","1129999.99523163","870000.004768372","5289999.96185303","5610000.1335144","4679999.82833862","759999.990463257","589999.973773956","4050000.19073486","1039999.96185303","34860000.6103516","1690000.05722046","7030000.20980835","4079999.92370605","330000.013113022","4690000.05722046","4309999.94277954","3319999.9332428","4050000.19073486","34180000.3051758","114680000.305176","-11970000.2670288","-5929999.82833862","3539999.96185303","-7659999.84741211","-9729999.54223633","-10170000.0762939","-8029999.73297119","5409999.84741211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","44049999.2370605","54790000.9155273","55159999.8474121","27870000.8392334","-5289999.96185303","-57150001.5258789","-9279999.73297119","8979999.54223633","2720000.02861023","17579999.9237061","-2440000.05722046","4980000.01907349","1889999.98569489","13560000.4196167","15949999.8092651","12000000","14090000.1525879","16389999.3896484","16760000.2288818","28270000.4577637","43680000.3051758","36830001.8310547","29489999.7711182","34419998.1689453","32740001.6784668","39080001.8310547","73669998.1689453","83389999.3896484","142479995.727539","201610000.610352","171630004.882813","277769989.013672","266730010.986328","245949996.948242","160919998.168945","148179992.675781","122440002.441406","99256294.2504883","73960296.6308594","82381713.8671875","74555419.921875","157635421.75293","98989997.8637695","117716598.510742","97338264.465332","93865997.3144531","114209396.362305","90230529.7851563","125017791.748047","116031860.351563","123300003.051758","97054046.6308594","177763702.392578","34726791.3818359","48793842.3156738","-18869466.7816162","2619663.00010681","-1165737.03289032","73223083.4960938","9495451.92718506","103078170.776367","156561065.673828","385349548.339844","259022705.078125","",
"Armenia","ARM","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2720000.02861023","22450000.7629395","109459999.084473","191270004.272461","217706665.039063","292276672.363281","166274932.861328","194258270.263672","209238265.991211","215889999.389648","211471038.818359","295217407.226563","250401962.280273","256121917.724609","172615554.80957","215385559.082031","351899902.34375","296027343.75","405595672.607422","296980010.986328","375991699.21875","270555999.755859","280361572.265625","267428833.007813","347476409.912109","326434722.900391","257544067.382813","141816253.662109","418213317.871094","127584777.832031","162794921.875","301331939.697266","205138351.44043","",
"American Samoa","ASM","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","9999.99977648258","3000000","2059999.94277954","3109999.89509583","5380000.11444092","3599999.90463257","3279999.97138977","5500000","9039999.96185303","4949999.80926514","3369999.88555908","2359999.89509583","2950000.04768372","5050000.19073486","5559999.94277954","8449999.80926514","4340000.15258789","4610000.1335144","7230000.01907349","4670000.07629395","3000000","4159999.84741211","2269999.98092651","3869999.88555908","4346333.02688599","9980167.38891602","10840167.0455933","9881833.07647705","8578000.06866455","13508000.3738403","5627492.90466309","1897493.00479889","8057493.20983887","3279999.97138977","4986286.16333008","6069186.21063232","4259185.79101563","19059999.4659424","15419308.6624146","2086824.89395142","1591518.04447174","2553652.04811096","1492630.00488281","183259.99379158","10301978.1112671","17598558.4259033","27453153.6102295","25941589.3554688","6136724.94888306","","","",
"Australia","AUS","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000.011920929","7429999.82833862","23870000.8392334","149039993.286133","119540000.915527","96360000.6103516","184059997.558594","120358169.555664","170995574.951172","140610565.185547","230909469.604492","350809478.759766","302033630.371094","175826660.15625","210401000.976563","203854339.599609","213306106.567383","225095840.454102","217576736.450195","121379997.253418","287774902.34375","286787048.339844","-70830535.8886719","216738616.943359","69583282.4707031","79432739.2578125","123526817.321777","87423637.3901367","120325294.494629","124028861.999512","10805034.6374512","48497169.4946289","123224662.780762","",
"Burundi","BDI","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","7530000.20980835","7190000.05722046","11069999.6948242","6159999.84741211","8090000.15258789","4860000.1335144","8930000.30517578","10409999.8474121","12970000.2670288","14930000.3051758","17670000.0762939","21680000.3051758","25760000.2288818","26860000.6103516","37349998.4741211","47470001.2207031","43799999.2370605","47639999.3896484","73910003.6621094","94339996.3378906","115949996.948242","120650001.525879","125400001.525879","137610000.610352","137669998.168945","137160003.662109","191309997.558594","196619995.117188","200500000","206240005.493164","262549987.792969","256399993.896484","309279998.779297","216949996.948242","311109985.351563","286950012.207031","110519996.643066","56400001.5258789","68750000","75103134.1552734","93306831.3598633","139246490.478516","171906356.811523","227596374.511719","358824523.925781","365577026.367188","432023345.947266","504552520.751953","520431335.449219","575745788.574219","519950012.207031","572244445.800781","524169494.628906","558831970.214844","515401428.222656","366918670.654297","742641845.703125","435817657.470703","451423461.914063","555532897.949219","482453460.693359","609902648.925781","574596252.441406","621667724.609375","",
"Belgium","BEL","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","19999.9995529652","1480000.01907349","3750000","4260000.22888184","18069999.6948242","17879999.1607666","14920000.0762939","16270000.4577637","13140000.3433228","13140000.3433228","14739999.7711182","28979999.5422363","20040000.9155273","26479999.5422363","33069999.6948242","54110000.6103516","50750000","48819999.6948242","60340000.1525879","84610000.6103516","88230003.3569336","81239997.8637695","79699996.9482422","84930000.3051758","75029998.7792969","93910003.6621094","134669998.168945","133699996.948242","157970001.220703","267869995.117188","266880004.882813","265660003.662109","269040008.544922","287760009.765625","256380004.882813","280559997.558594","288290008.544922","221149993.896484","205232589.72168","212440063.476563","244766067.504883","280419128.417969","221540664.672852","301993652.34375","391789672.851563","349081329.345703","400313323.974609","475294891.357422","636721313.476563","677563781.738281","601109985.351563","672611206.054688","507878723.144531","660197998.046875","599316223.144531","436632080.078125","500756500.244141","679996398.925781","574678710.9375","594194396.972656","1050619873.04688","851502258.300781","848452880.859375","1034930297.85156","",
"Burkina Faso","BFA","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","200000.002980232","1350000.02384186","4429999.82833862","4139999.8664856","15399999.6185303","17270000.4577637","16860000.6103516","19620000.8392334","22809999.4659424","24000000","21989999.7711182","28790000.9155273","34319999.6948242","56900001.5258789","96319999.6948242","88500000","79870002.746582","109069999.694824","156880004.882813","196160003.662109","209960006.713867","214830001.831055","210190002.441406","181139999.389648","182979995.727539","188490005.493164","268910003.662109","268179992.675781","286779998.779297","265279998.779297","326529998.779297","419649993.896484","433380004.882813","468989990.234375","433100006.103516","490450012.207031","419239990.234375","369114929.199219","400119598.388672","398759582.519531","179784667.96875","390936706.542969","440271697.998047","540838989.257813","647383972.167969","698193969.726563","900548339.84375","942715942.382813","1000375305.17578","1083702880.85938","845799987.792969","981979125.976563","1152317382.8125","1045078125","1123362792.96875","998385070.800781","1029480468.75","892151123.046875","1187555664.0625","1108672241.21094","1732347412.10938","1611648925.78125","1392364990.23438","1436421997.07031","",
"Bangladesh","BGD","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","15359999.6566772","223759994.506836","421470001.220703","531390014.648438","1055180053.71094","491809997.558594","772419982.910156","958719970.703125","1122180053.71094","1229310058.59375","1054290039.0625","1304069946.28906","993260009.765625","1109040039.0625","982750000","1287989990.23438","1619000000","1392609985.35156","1482660034.17969","1788900024.41406","1612219970.70313","1498650024.41406","1165369995.11719","1384750000","1033109985.35156","964880004.882813","863150024.414063","979549987.792969","1005428344.72656","976340270.996094","918445312.5","807401977.539063","1301785644.53125","1421295654.29688","1251617553.71094","1027815795.89844","1308524291.99219","1765825317.38281","1082755371.09375","1220219970.70313","1437520507.8125","2154049560.54688","2633587402.34375","2422644775.39063","2592908447.26563","2532818359.375","3781766845.70313","3044762207.03125","4382779785.15625","5376224609.375","5090641601.5625","5204791992.1875","5683857421.875","",
"Bulgaria","BGR","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13619999.8855591","315679992.675781","147509994.506836","114650001.525879","157339996.337891","113069999.694824","180020004.272461","219470001.220703","238800003.051758","266559997.558594","307140014.648438","345950012.207031","326809997.558594","419410003.662109","618369995.117188","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","39999.9991059303","939999.997615814","1350000.02384186","639999.985694885","579999.983310699","879999.995231628","9710000.03814697","50000.0007450581","200000.002980232","140000.000596046","949999.988079071","4699999.80926514","2839999.91416931","14239999.7711182","37689998.626709","25860000.6103516","163160003.662109","47959999.0844727","83959999.0844727","135289993.286133","206529998.779297","197160003.662109","156000000","255330001.831055","211220001.220703","74059997.5585938","99510002.1362305","8840000.15258789","-2609999.89509583","-1759999.99046326","137500000","94699996.9482422","80110000.6103516","111430000.305176","95790000.9155273","99870002.746582","132320007.324219","150279998.779297","199720001.220703","61880001.0681152","60430000.3051758","70809997.5585938","61580001.8310547","131770004.272461","58220001.2207031","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","-39999.9991059303","","","19999.9995529652","59999.9986588955","70000.0002980232","50000.0007450581","689999.997615814","50000.0007450581","70000.0002980232","79999.9982118607","250000","1220000.02861023","479999.989271164","519999.980926514","660000.026226044","589999.973773956","469999.998807907","779999.971389771","889999.985694885","1419999.95708466","1389999.98569489","1320000.05245209","889999.985694885","10039999.961853","699999.988079071","1639999.98569489","639999.985694885","1419999.95708466","3920000.07629395","3150000.09536743","2759999.99046326","2829999.92370605","1159999.9666214","1000000","4389999.8664856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9999.99977648258","9999.99977648258","9999.99977648258","15689999.5803833","70239997.8637695","408570007.324219","965799987.792969","851809997.558594","862049987.792969","914969970.703125","1286239990.23438","737929992.675781","640080017.089844","555780029.296875","541919982.910156","686086669.921875","539892639.160156","536842651.367188","599104675.292969","465008636.474609","417339569.091797","412309997.558594","625777709.960938","568016662.597656","521210510.253906","630202148.4375","356393310.546875","446115722.65625","440537841.796875","356066528.320313","461445007.324219","439946014.404297","565515319.824219","285065002.441406","307687896.728516","",
"Belarus","BLR","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58010219.5739746","74760215.7592773","85429382.3242188","111138298.034668","98215965.2709961","135229995.727539","119795318.603516","102869323.730469","107136093.139648","120611869.812012","104575263.977051","-22310482.0251465","-250166244.506836","119171150.20752","213054031.37207","327027496.337891","141043823.242188","17548471.4508057","114752738.952637","",
